Date,1. open,2. high,3. low,4. close,Volume
2024-05-30,3762.07000000,3824.07000000,3700.40000000,3746.74000000,96742.86205790
2024-05-29,3840.18000000,3884.24000000,3740.75000000,3762.11000000,108846.32940744
2024-05-28,3890.72000000,3926.60000000,3769.47000000,3839.98000000,100613.04720901
2024-05-27,3823.55000000,3973.90000000,3821.01000000,3890.72000000,71151.44619506
2024-05-26,3749.23000000,3882.82000000,3731.03000000,3823.83000000,57883.65812154
2024-05-25,3726.87000000,3777.78000000,3707.41000000,3749.06000000,33301.97878165
2024-05-24,3780.42000000,3827.99000000,3627.53000000,3726.89000000,112184.83780110
2024-05-23,3736.02000000,3947.00000000,3521.24000000,3780.83000000,309961.25314343
2024-05-22,3789.41000000,3813.25000000,3653.11000000,3735.99000000,152993.45828385
2024-05-21,3661.51000000,3841.24000000,3625.58000000,3789.37000000,253191.48042776
2024-05-20,3070.83000000,3695.00000000,3048.58000000,3661.52000000,280881.20562155
2024-05-19,3123.76000000,3137.64000000,3053.74000000,3070.90000000,36279.72976482
2024-05-18,3093.20000000,3148.00000000,3085.07000000,3123.99000000,35887.59340775
2024-05-17,2944.86000000,3122.08000000,2932.68000000,3093.39000000,80378.06214215
2024-05-16,3033.23000000,3041.71000000,2923.73000000,2945.11000000,79847.19015756
2024-05-15,2880.39000000,3041.53000000,2862.36000000,3033.20000000,102425.75517286
2024-05-14,2950.09000000,2988.00000000,2858.76000000,2880.40000000,84843.49382255
2024-05-13,2927.72000000,2994.74000000,2864.35000000,2950.21000000,81949.54698641
2024-05-12,2911.77000000,2954.16000000,2900.59000000,2927.75000000,23851.53354001
2024-05-11,2909.38000000,2943.64000000,2885.80000000,2911.75000000,26841.15468691
2024-05-10,3035.92000000,3053.53000000,2878.38000000,2909.43000000,79016.14737388
2024-05-09,2972.81000000,3058.43000000,2949.52000000,3035.92000000,56610.30197974
2024-05-08,3006.09000000,3038.17000000,2937.09000000,2972.82000000,52553.55510881
2024-05-07,3062.69000000,3129.90000000,3000.00000000,3005.78000000,62108.80446702
2024-05-06,3136.77000000,3221.41000000,3045.59000000,3062.69000000,79596.65949657
2024-05-05,3117.52000000,3171.64000000,3073.70000000,3136.95000000,38526.42777835
2024-05-04,3104.11000000,3167.85000000,3093.87000000,3117.41000000,37445.21056090
2024-05-03,2986.12000000,3128.04000000,2958.55000000,3103.27000000,82328.62907159
2024-05-02,2968.18000000,3016.07000000,2890.28000000,2986.32000000,74253.44635959
2024-05-01,3011.24000000,3020.26000000,2814.12000000,2968.12000000,148775.73927121
2024-04-30,3215.89000000,3249.66000000,2916.34000000,3011.40000000,122376.47890903
2024-04-29,3262.99000000,3287.15000000,3114.56000000,3215.53000000,85704.21545809
2024-04-28,3253.04000000,3356.31000000,3239.72000000,3262.60000000,66716.10732189
2024-04-27,3130.04000000,3281.92000000,3067.27000000,3253.04000000,65631.20199995
2024-04-26,3155.27000000,3166.66000000,3101.01000000,3130.00000000,69330.93637665
2024-04-25,3139.27000000,3191.94000000,3071.79000000,3155.36000000,95350.39968519
2024-04-24,3219.42000000,3293.40000000,3102.62000000,3138.91000000,88784.32655222
2024-04-23,3201.67000000,3266.40000000,3153.41000000,3219.49000000,69940.41364720
2024-04-22,3148.06000000,3237.41000000,3129.68000000,3201.46000000,70530.52584425
2024-04-21,3156.62000000,3198.46000000,3117.46000000,3148.10000000,34111.84839622
2024-04-20,3057.90000000,3172.30000000,3019.11000000,3157.01000000,42703.49658553
2024-04-19,3065.80000000,3128.99000000,2865.71000000,3057.93000000,126465.06248187
2024-04-18,2984.90000000,3100.80000000,2952.53000000,3065.82000000,91513.42190694
2024-04-17,3085.41000000,3124.03000000,2914.01000000,2984.98000000,122585.77561348
2024-04-16,3103.40000000,3128.28000000,2990.00000000,3085.25000000,117411.00495166
2024-04-15,3158.20000000,3281.21000000,3025.00000000,3103.13000000,129021.87609399
2024-04-14,3012.01000000,3175.72000000,2911.23000000,3158.06000000,160742.93293593
2024-04-13,3238.98000000,3302.32000000,2850.00000000,3011.39000000,241260.34609045
2024-04-12,3503.06000000,3553.03000000,3100.00000000,3239.31000000,158974.41856200
2024-04-11,3546.07000000,3617.97000000,3473.60000000,3503.06000000,73843.06830002
2024-04-10,3504.24000000,3562.51000000,3411.59000000,3546.00000000,83472.76785832
2024-04-09,3694.26000000,3726.79000000,3450.60000000,3504.58000000,104295.66540925
2024-04-08,3453.69000000,3729.16000000,3406.93000000,3694.56000000,117580.32397415
2024-04-07,3352.87000000,3459.52000000,3345.36000000,3453.67000000,40642.58459362
2024-04-06,3319.10000000,3398.80000000,3308.70000000,3352.66000000,35789.96297357
2024-04-05,3329.41000000,3348.33000000,3210.99000000,3319.26000000,82464.50869563
2024-04-04,3312.42000000,3444.95000000,3251.91000000,3329.39000000,108312.21150232
2024-04-03,3279.71000000,3369.43000000,3202.80000000,3312.43000000,99323.08866670
2024-04-02,3505.95000000,3507.69000000,3211.41000000,3279.64000000,148814.96574824
2024-04-01,3645.55000000,3646.38000000,3413.86000000,3505.85000000,97053.82915967
2024-03-31,3507.31000000,3654.87000000,3505.76000000,3645.48000000,53825.13202391
