time,open,high,low,close,volume
2023-11-10,45.31,57.74,45.08,56.72,4565362.62
2023-11-09,43.16,48.93,42.52,45.3,4257617.115
2023-11-08,42.94,43.89,42.27,43.13,1418831.051
2023-11-07,42.17,44.75,40.11,42.95,3447843.701
2023-11-06,41.21,42.25,39.69,42.16,2212020.031
2023-11-05,42.43,42.89,40.29,41.2,1662028.628
2023-11-04,39.46,42.8,39.0,42.44,1733105.233
2023-11-03,40.26,40.26,38.02,39.48,2573934.38
2023-11-02,41.16,44.6,38.64,40.25,3444791.361
2023-11-01,38.42,46.97,37.94,41.18,5621226.735
2023-10-31,34.95,38.6,34.79,38.43,3496301.771
2023-10-30,32.85,35.34,32.45,34.95,1996411.129
2023-10-29,31.64,33.15,31.3,32.84,1189572.261
2023-10-28,31.75,32.52,31.4,31.64,532581.737
2023-10-27,32.79,33.36,31.27,31.74,1601328.022
2023-10-26,32.44,33.27,30.71,32.78,2593101.869
2023-10-25,30.19,33.9,30.0,32.43,2591832.289
2023-10-24,31.9,32.59,29.51,30.18,2612855.787
2023-10-23,29.06,32.69,28.75,31.91,2892634.04
2023-10-22,29.32,30.03,28.11,29.06,979912.243
2023-10-21,27.05,30.33,26.66,29.32,1895797.701
2023-10-20,24.94,27.4,24.74,27.05,2445877.547
2023-10-19,23.41,25.79,23.13,24.94,1708510.464
2023-10-18,23.94,24.44,23.36,23.42,1007584.54
2023-10-17,23.97,24.57,23.46,23.95,1062243.881
2023-10-16,21.93,24.78,21.9,23.97,1699423.358
2023-10-15,22.0,22.18,21.67,21.94,359412.866
2023-10-14,21.85,22.25,21.8,22.0,243456.115
2023-10-13,21.28,22.22,21.11,21.84,570363.14
2023-10-12,22.01,22.04,20.93,21.28,474036.407
2023-10-11,22.11,22.42,21.61,22.01,815386.376
2023-10-10,22.11,22.48,21.71,22.11,470735.057
2023-10-09,23.23,23.38,21.61,22.1,685047.892
2023-10-08,23.3,23.64,23.09,23.24,273249.75
2023-10-07,23.42,24.2,23.1,23.31,482011.028
2023-10-06,22.7,23.79,22.67,23.43,747467.234
2023-10-05,23.14,23.97,22.55,22.7,757622.529
2023-10-04,23.62,23.85,22.58,23.14,883545.838
2023-10-03,23.39,24.76,23.22,23.62,1137984.041
2023-10-02,23.88,24.8,22.9,23.36,1679273.949
2023-10-01,21.36,24.49,21.13,23.87,1350196.382
2023-09-30,20.28,21.8,20.08,21.36,847857.117
2023-09-29,19.98,20.5,19.86,20.27,565041.2
2023-09-28,19.12,20.05,19.08,19.98,1170433.793
2023-09-27,19.01,19.46,18.73,19.12,943861.842
2023-09-26,19.39,19.52,18.83,19.01,522180.351
2023-09-25,19.36,19.74,19.09,19.39,536868.777
2023-09-24,19.48,19.67,19.21,19.36,237377.083
2023-09-23,19.42,19.58,19.28,19.48,273614.035
2023-09-22,19.45,19.79,19.16,19.42,499825.247
2023-09-21,20.3,20.3,19.27,19.46,1065796.88
2023-09-20,20.03,20.5,19.81,20.29,843651.523
2023-09-19,19.64,20.4,19.58,20.04,650593.597
2023-09-18,18.82,20.16,18.6,19.66,1137968.796
2023-09-17,19.13,19.14,18.65,18.81,241358.324
2023-09-16,19.15,19.46,18.88,19.13,409682.883
2023-09-15,18.86,19.49,18.56,19.14,820155.637
2023-09-14,18.4,19.32,18.39,18.86,978025.881
2023-09-13,17.92,18.57,17.69,18.4,1060226.746
2023-09-12,17.72,18.8,17.56,17.92,1123051.34
2023-09-11,18.23,18.46,17.34,17.72,1263148.599
2023-09-10,19.44,19.44,17.8,18.23,1225347.476
2023-09-09,19.61,19.61,19.37,19.44,201743.804
2023-09-08,19.92,20.28,19.37,19.61,460389.639
2023-09-07,19.63,20.0,19.32,19.91,540304.612
2023-09-06,20.26,20.37,19.14,19.64,670393.35
2023-09-05,19.51,20.6,19.03,20.26,877221.105
2023-09-04,19.57,20.03,19.16,19.52,411141.739
